
,"LISTA DE PRECIOS DELTRON"

,"Generada el :"2024-02-01 06:58:16
,"Almacen(es) :,'AREQUIPA'"
,"Almacen(es) :"
,"TIPO DE CAMBIO :3.820"
,"__________________________________"


"_______________","_______________","__________________________________","__________"
"cpu ci5 9xxx s1151-v2","cpili59400t","procesador intel core i5-9400, 2.90 ghz, 9 mb caché l3, lga1151, 65w, 14 nm.[@@@]tecn",8,179.79, ,"","W","intel corp"
"cpu ci5 9xxx s1151-v2","cpili59600k","procesador intel core i5-9600k, 3.70 ghz, 9 mb caché l3, lga1151, 95w, 14 nm.[@@@]tec",2,191.85, ,"","W","intel corp"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","CPU CI7 11XXX S1200","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"cpu ci7 11xxx s1200","cpili711700kf","procesador intel core i7-11700kf 3.60 / 5.00 ghz,16 mb caché l3, lga1200, 125w, 14 nm",2,419.09, ,"","W","intel corp"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","CPU CI7 12XXX S1700","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"cpu ci7 12xxx s1700","cpili712700","procesador intel core i7-12700 2.10/4.90ghz, 25mbsmartcaché, lga1700, 180w, intel 7(1",1,385.82, ,"","W","intel corp"
"cpu ci7 12xxx s1700","cpili712700k","procesador intel core i7-12700k 3.60 / 5.00ghz, 25mb caché l3, lga1700, 125w, 10 nm.[",1,425.01, ,"","W","intel corp"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","CPU CI7 13XXX S1700","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"cpu ci7 13xxx s1700","cpili713700","procesador intel core i7-13700 2.10/5.20ghz 30mb smartcaché lga1700, 65w, intel 7(10n",4,395.97, ,"","W","intel corp"
"cpu ci7 13xxx s1700","cpili713700k","procesador intel core i7-13700k 3.40/5.40ghz 30mbsmartcaché lga1700, 125w, intel 7(10",3,422.00, ,"","W","intel corp"
"cpu ci7 13xxx s1700","cpili713700kf","procesador intel core i7-13700kf 3.40/5.40ghz 30mb smartcaché lga1700, 125w, intel 7(",6,392.96, ,"","W","intel corp"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","CPU CI7 14XXX S1700","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"cpu ci7 14xxx s1700","cpili714700k","procesador intel core i7-14700k 3.40/5.60ghz, 33 mb intel smart caché, lga1700, 125w/",1,426.12, ,"","W","intel corp"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","CPU CI9 12XXX S1700","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"cpu ci9 12xxx s1700","cpili912900k","procesador intel core i9-12900k 3.20 / 5.10ghz, 30mb caché l3, lga1700, 125w, 10 nm.[",10,605.01, ,"","W","intel corp"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","CPU CI9 13XXX S1700","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"cpu ci9 13xxx s1700","cpili913900k","procesador intel core i9-13900k 3.00/5.80ghz 36mbsmartcache lga1700, 125w, intel 7(10",1,578.88, ,"","W","intel corp"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","DISCO DURO 3.5 SATA","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"disco duro 3.5 sata","hdist1000dm014","disco duro seagate barracuda st1000dm014, 1tb, sata 6.0 gbps, 7200rpm, 64mb cache, 3.",>20,49.25, ,"","D","seagate"
"disco duro 3.5 sata","hdist2000dm005","disco duro seagate barracuda compute, 2 tb sata 6gb/s, 5400rpm, 256mb cache, 3.5.[@@",12,50.50, ,"","X","seagate"
